ID,Type,Material,Size,Length
SAN010101001219,LFMC,Galvanized Steel,3.5,200 ft.
SAN010101001220,LFMC,Galvanized Steel,4,200 ft.
SAN010101001221,LFMC,Galvanized Steel,5,200 ft.
SAN010101001222,LFMC,Galvanized Steel,6,200 ft.
SAN010101002975,LFNC,PVC,0.5,150 ft.
SAN010101002976,LFNC,PVC,0.75,150 ft.
SAN010101002977,LFNC,PVC,1,150 ft.
SAN010101002978,LFNC,PVC,1.25,150 ft.
SAN010101002979,LFNC,PVC,1.5,150 ft.
SAN010101002980,LFNC,PVC,2,150 ft.
SAN010101002981,LFNC,PVC,2.5,150 ft.
SAN010101002982,LFNC,PVC,3,150 ft.
SAN010101002983,LFNC,PVC,3.5,150 ft.
SAN010101002984,LFNC,PVC,4,150 ft.
SAN010101002985,LFNC,PVC,5,150 ft.
SAN010101002986,LFNC,PVC,6,150 ft.
