Short Desc,Type,Material,Size,Length,Trade Size:,Type:,Conduit Type:,Length:,Style:,Color:,Trade Size:.1,Jacket:,Core:,Weight:,Temperature:,End Type:,Ground:,Throat:,Angle:,Outside Diameter:,Application:,Package:,SKU,Manufacturer Series,PDF Link
Enviro Flex    Liquidtight Flexible Nonmetallic 1 inch,LFNC,PVC,1.0,100 ft.,,,,,,,,,,,,,,,,,,,,,
"Thomas and Betts®    Liquidtight Flexible Nonmetallic, Black, 1-1/2 in.",LFNC,PVC,1.5,150 ft.,,,,,,,,,,,,,,,,,,,,,
"Thomas and Betts®    Liquidtight Flexible Nonmetallic Conduit, 1 in. Trade, 1.302 in. OD x 500-ft Length, PVC",LFNC,PVC,1.0,500 ft.,,,,,,,,,,,,,,,,,,,,,
"Thomas and Betts®    Liquidtight Flexible Nonmetallic, Gray, 3/4 in.",LFNC,PVC,0.75,100 ft.,,,,,,,,,,,,,,,,,,,,,
"Liquidtight Flexible Nonmetallic, Orange, 1 in.",LFNC,PVC,1.0,100 ft.,,,,,,,,,,,,,,,,,,,,,
"Thomas and Betts®    Liquidtight Flexible Nonmetallic Conduit, 1-1/4 in. Trade, 1.645 in. OD x 100-ft Length, PVC",LFNC,PVC,1.25,100 ft.,,,,,,,,,,,,,,,,,,,,,
"Thomas and Betts®    Liquidtight Flexible Nonmetallic Conduit, 1 in. Trade, 1.302 in. OD x 100-ft Length",LFNC,PVC,1.0,100 ft.,,,,,,,,,,,,,,,,,,,,,
"Thomas and Betts®    Flexible Conduit, 1-1/2 in., LFNC-B, PVC",LFNC,PVC,1.5,50 ft.,,,,,,,,,,,,,,,,,,,,,
"Sealtite    Liquidtight Flexible Nonmetallic, Orange, 3/4 in.",LFNC,PVC,0.75,400 ft.,,,,,,,,,,,,,,,,,,,,,
"Thomas and Betts®    Liquidtight Flexible Nonmetallic, Gray, 1/2 in.",LFNC,PVC,0.5,1000 ft.,,,,,,,,,,,,,,,,,,,,,
"Thomas and Betts®    Liquidtight Flexible Nonmetallic, Gray, 3/4 in.",LFNC,PVC,0.75,500 ft.,,,,,,,,,,,,,,,,,,,,,
"PolyTuff®    Liquidtight Flexible Nonmetallic Conduit, 2 in. Trade, PVC, Flex Tubing, PVC, -18 C to 60 C",LFNC,PVC,2.0,50 ft.,,,,,,,,,,,,,,,,,,,,,
"Thomas and Betts®    Liquidtight Flexible Nonmetallic, Gray, 1/2 in.",LFNC,PVC,0.5,100 ft.,,,,,,,,,,,,,,,,,,,,,
"PolyTuff®    Liquidtight Flexible Nonmetallic, Black, 1 in.",LFNC,PVC,1.0,100 ft.,,,,,,,,,,,,,,,,,,,,,
"PolyTuff®    Liquidtight Flexible Nonmetallic, Black, 1-1/2 in.",LFNC,PVC,1.5,50 ft.,,,,,,,,,,,,,,,,,,,,,
PolyTuff®    Liquidtight Flexible Nonmetallic 1 inch,LFNC,PVC,1.0,100 ft.,,,,,,,,,,,,,,,,,,,,,
"Heyco-Flex™    Liquidtight Flexible Nonmetallic, Black, 1 in.",LFNC,PVC,1.0,100 ft.,,,,,,,,,,,,,,,,,,,,,
"Conduit, Nonmetallic; Flexible; 1-1/4 in. Trade; 1.66 in. OD; 50 ft Length",LFNC,PVC,1.25,50 ft.,,,,,,,,,,,,,,,,,,,,,
Enviro Flex    Liquidtight Flexible Nonmetallic 1-1/4 inch,LFNC,PVC,1.25,50 ft.,,,,,,,,,,,,,,,,,,,,,
"Sealtite    Liquidtight Flexible Nonmetallic, Orange, 1-1/2 in.",LFNC,PVC,1.5,50 ft.,,,,,,,,,,,,,,,,,,,,,
"Thomas and Betts®    Liquidtight Flexible Nonmetallic Conduit, 1-1/4 in. Trade, 1.645 in. OD x 200-ft Length, PVC",LFNC,PVC,1.25,200 ft.,,,,,,,,,,,,,,,,,,,,,
"Sealtite    Liquidtight Flexible Nonmetallic, Gray, 1/2 in.",LFNC,PVC,0.5,1000 ft.,,,,,,,,,,,,,,,,,,,,,
"Sealtite    Liquidtight Flexible Nonmetallic, Orange, 3/4 in.",LFNC,PVC,0.75,175 ft.,,,,,,,,,,,,,,,,,,,,,
