Short Desc,Type,Material,Size,Length,Trade Size:,Type:,Conduit Type:,Length:,Style:,Color:,Trade Size:.1,Jacket:,Core:,Weight:,Temperature:,End Type:,Ground:,Throat:,Angle:,Outside Diameter:,Application:,Package:,SKU,Manufacturer Series,PDF Link
"EMT Conduit, 2 in. Trade, 10 ft L, Galvanized Steel, Silver, Integral Compression Coupling",EMT,Galvanized Steel,2.0,10 ft.,2 in.,EMT - Thinwall Conduit,0,10 ft.,0,Silver,2 in.,0,0,148 lb. / 100 ft.,0,Integral Compression Coupling,0,0.0,0.0,0,0.0,0.0,78001095223.0,E-Z PULL,http://www.alliedeg.us/e_documents/Allied_Kwik-Fit_and_Kwik-Fit_Compression_EMT.pdf
"Fire Alarm EMT Conduit, 1/2 in. Trade, 10 ft L, Galvanized Steel, Red, Standard End",EMT,Galvanized Steel,0.5,10 ft.,1/2 in.,EMT - Thinwall Conduit,0,10 ft.,0,Red,1/2 in.,0,0,30 lb. / 100 ft.,0,0,0,0.0,0.0,0,0.0,0.0,78001002011.0,,
"EMT Conduit, 1/2 in. Trade, 10 ft L, Galvanized Steel, Yellow, 30 lb/100 ft",EMT,Galvanized Steel,0.5,10 ft.,1/2 in.,EMT - Thinwall Conduit,0,10 ft.,0,Yellow,1/2 in.,0,0,30 lb. / 100 ft.,0,0,0,0.0,0.0,0,0.0,0.0,78001098993.0,,
"Kwik-Fit    Conduit, EMT-Thinwall, 4 in. Trade",EMT,Galvanized Steel,4.0,10 ft.,4 in.,EMT - Thinwall Conduit,0,10 ft.,0,Silver,4 in.,0,0,431 lb. / 100 ft.,0,Integral Compression Coupling,0,0.0,0.0,0,0.0,0.0,9111115046.0,E-Z PULL,
"Kwik-Fit    Conduit, EMT-Thinwall, 3 in. Trade",EMT,Galvanized Steel,3.0,10 ft.,3 in.,EMT - Thinwall Conduit,0,10 ft.,0,Silver,3 in.,0,0,291 lb. / 100 ft.,0,Integral Compression Coupling,0,0.0,0.0,0,0.0,0.0,9111115044.0,E-Z PULL,
"Fire Alarm EMT Conduit, 3/4 in. Trade, 10 ft L, Galvanized Steel, Red, Standard End",EMT,Galvanized Steel,0.75,10 ft.,3/4 in.,EMT - Thinwall Conduit,0,10 ft.,0,Red,3/4 in.,0,0,46 lb. / 100 ft.,0,0,0,0.0,0.0,0,0.0,0.0,78001098999.0,,
"EMT Conduit, 3/4 in. Trade, 10 ft L, Galvanized Steel, Yellow, 46 lb/100 ft",EMT,Galvanized Steel,0.75,10 ft.,3/4 in.,EMT - Thinwall Conduit,0,10 ft.,0,Yellow,3/4 in.,0,0,46 lb. / 100 ft.,0,0,0,0.0,0.0,0,0.0,0.0,78001094845.0,,
"EMT Conduit, 3/4 in. Trade, 10 ft L, Galvanized Steel, Blue, Standard End, 46 lb/100 ft",EMT,Galvanized Steel,0.75,10 ft.,3/4 in.,EMT - Thinwall Conduit,0,10 ft.,0,Blue,3/4 in.,0,0,46 lb. / 100 ft.,0,0,0,0.0,0.0,0,0.0,0.0,78001095217.0,,
"EMT Conduit, 3/4 in. Trade, 10 ft L, Galvanized Steel, Orange, 46 lb/100 ft",EMT,Galvanized Steel,0.75,10 ft.,3/4 in.,EMT - Thinwall Conduit,0,10 ft.,0,Orange,3/4 in.,0,0,46 lb. / 100 ft.,0,0,0,0.0,0.0,0,0.0,0.0,78001098977.0,,
"EMT Conduit, 3/4 in., 10 ft L, Hot Dip Galvanized Steel",EMT,Galvanized Steel,0.75,10 ft.,3/4 in.,EMT - Conduit,0,10 ft.,0,Silver,3/4 in.,0,0,46 lb. / 100 ft.,0,0,0,0.0,0.0,0,0.0,0.0,9111198938.0,,
